gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGM,team2PM,team3PM,teamFTM,teamORB,teamDRB,teamTRB,teamDrtg,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGM,oppt2PM,oppt3PM,opptFTM,opptORB,opptDRB,opptTRB,opptDrtg,matchWinner
22/12/2020,Regular,2020-21,0,1,GSW,Away,Loss,0,99,26,18,6,6,24,37,27,10,15,13,34,47,113.1,1,0,BRK,Home,Win,0,125,24,20,11,7,22,42,27,15,26,13,44,57,89.6,BRK
22/12/2020,Regular,2020-21,1,0,LAC,Away,Win,0,116,22,16,10,3,29,44,30,14,14,11,29,40,105.3,0,1,LAL,Home,Loss,0,109,22,19,4,2,20,38,29,9,24,8,37,45,112.1,LAC
23/12/2020,Regular,2020-21,0,1,CHO,Away,Loss,0,114,29,15,10,4,17,45,29,16,8,8,24,32,119.2,1,0,CLE,Home,Win,0,121,34,18,12,3,22,46,32,14,15,10,40,50,112.3,CLE
23/12/2020,Regular,2020-21,0,1,NYK,Away,Loss,0,107,25,16,8,8,27,39,27,12,17,5,35,40,114.2,1,0,IND,Home,Win,0,121,28,13,6,9,24,46,38,8,21,10,40,50,101,IND
23/12/2020,Regular,2020-21,0,1,MIA,Away,Loss,0,107,25,22,11,2,21,42,35,7,16,7,36,43,107.7,1,0,ORL,Home,Win,0,113,23,17,15,3,19,42,32,10,19,11,30,41,102,ORL
23/12/2020,Regular,2020-21,0,1,WAS,Away,Loss,0,107,28,19,7,4,26,39,26,13,16,5,35,40,106.9,1,0,PHI,Home,Win,0,113,22,16,11,8,25,41,33,8,23,10,37,47,101.2,PHI
23/12/2020,Regular,2020-21,1,0,NOP,Away,Win,0,113,30,24,13,7,17,42,23,19,10,8,37,45,95.2,0,1,TOR,Home,Loss,0,99,26,20,10,5,22,38,24,14,9,7,28,35,108.6,NOP
23/12/2020,Regular,2020-21,0,1,MIL,Away,Loss,0,121,19,16,4,6,20,46,32,14,15,11,41,52,122.1,1,0,BOS,Home,Win,0,122,23,6,8,6,17,48,30,18,8,10,27,37,121.1,BOS
23/12/2020,Regular,2020-21,1,0,ATL,Away,Win,0,124,24,21,6,3,29,43,29,14,24,8,38,46,100.1,0,1,CHI,Home,Loss,0,104,20,15,10,3,22,36,28,8,24,8,29,37,119.4,ATL
23/12/2020,Regular,2020-21,1,0,SAS,Away,Win,0,131,28,10,8,8,18,48,38,10,25,8,40,48,110.5,0,1,MEM,Home,Loss,0,119,27,11,6,8,20,49,39,10,11,5,37,42,121.6,SAS
23/12/2020,Regular,2020-21,0,1,DET,Away,Loss,0,101,29,12,5,2,20,45,37,8,3,7,37,44,112.7,1,0,MIN,Home,Win,0,111,25,11,6,5,16,38,27,11,24,12,36,48,102.6,MIN
23/12/2020,Regular,2020-21,1,0,SAC,Away,Win,0,124,27,14,5,7,29,45,35,10,24,18,36,54,111.5,0,1,DEN,Home,Loss,0,122,28,15,6,11,25,47,39,8,20,10,36,46,113.3,SAC
23/12/2020,Regular,2020-21,1,0,UTA,Away,Win,0,120,24,11,3,3,16,43,24,19,15,12,47,59,101.8,0,1,POR,Home,Loss,0,100,23,6,6,3,18,37,25,12,14,6,34,40,122.1,UTA
23/12/2020,Regular,2020-21,0,1,DAL,Away,Loss,0,102,17,11,6,0,23,36,27,9,21,6,33,39,105.5,1,0,PHO,Home,Win,0,106,21,18,7,7,26,38,27,11,19,6,42,48,101.5,PHO
